State,City,PM2.5,PM10,O3,SO2,CO,Wind Speed,Humidity,Temp,AQI,AQI Type
Dadra and Nagar Haveli,Silvassa,13.3,24.5,,,,11.0,91.0,26.0,25.0,Good
Gujarat,Parnera,21.4,52.1,,,,12.0,94.0,26.0,53.0,Satisfactory
Daman and Diu,Daman,21.4,52.1,,,,16.0,89.0,26.0,53.0,Satisfactory
Dadra and Nagar Haveli,Amli,13.3,24.5,,,,10.0,92.0,26.0,25.0,Good
Maharashtra,Dahanu,21.5,52.1,,,,12.0,89.0,26.0,53.0,Satisfactory
Gujarat,Vapi,21.4,52.1,,,,14.0,90.0,26.0,53.0,Satisfactory
Gujarat,Dharampur,13.3,24.5,,,,8.0,97.0,25.0,25.0,Good
Dadra and Nagar Haveli,Silvassa,13.3,24.5,,,,11.0,91.0,26.0,25.0,Good
Dadra and Nagar Haveli,Dadra,21.4,52.1,,,,11.0,91.0,26.0,53.0,Satisfactory
Dadra and Nagar Haveli,Amli,13.3,24.5,,,,10.0,92.0,26.0,25.0,Good
Gujarat,Valsad,21.4,52.1,,,,14.0,93.0,26.0,53.0,Satisfactory
Gujarat,Killa-pardi,21.4,52.1,,,,13.0,93.0,26.0,53.0,Satisfactory
Gujarat,Parnera,21.4,52.1,,,,12.0,94.0,26.0,53.0,Satisfactory
Gujarat,Bilimora,21.4,52.1,,,,14.0,94.0,26.0,53.0,Satisfactory
Daman and Diu,Daman,21.4,52.1,,,,16.0,89.0,26.0,53.0,Satisfactory
Gujarat,Chikhli,13.3,24.5,,,,12.0,95.0,25.0,25.0,Good
Haryana,Khewra,17.0,40.0,,,,20.0,69.0,31.0,40.0,Good
Uttar Pradesh,Khekra,20.0,46.0,,,,19.0,68.0,31.0,46.0,Good
Delhi,Delhi,28.0,61.2,33.3,10.3,818.8,11.0,66.0,32.0,62.0,Satisfactory
Uttar Pradesh,Loni Dehat,25.0,53.0,,,,20.0,67.0,31.0,53.0,Satisfactory
Haryana,Kharkhoda,23.0,48.0,,,,21.0,64.0,32.0,48.0,Good
Delhi Division,New Delhi,23.1,49.3,48.5,8.3,512.5,11.0,66.0,32.0,50.0,Good
Haryana,Bahadurgarh,22.0,78.0,,,,21.0,68.0,31.0,78.0,Satisfactory
Delhi,Gurugram,20.1,51.7,,,,11.0,66.0,32.0,52.0,Satisfactory
Haryana,Sankhol,22.0,78.0,,,,21.0,68.0,31.0,78.0,Satisfactory
Haryana,Ferozpur Bangar,23.0,48.0,,,,21.0,60.0,33.0,48.0,Good
Uttar Pradesh,Baghpat,20.0,46.0,,,,19.0,65.0,31.0,46.0,Good
South Goa,Chinchinim,16.9,34.6,,,,14.0,70.0,28.0,35.0,Good
Goa,Quepem,11.7,21.1,,,,14.0,70.0,30.0,22.0,Good
South Goa,Davorlim,16.9,34.6,,,,15.0,68.0,28.0,35.0,Good
Goa,Talaulim,16.9,34.6,,,,13.0,83.0,28.0,35.0,Good
Goa,Curchorem,11.7,21.1,,,,14.0,70.0,30.0,22.0,Good
South Goa,Cuncolim,16.9,34.6,,,,14.0,70.0,28.0,35.0,Good
Goa,Vodlemol Cacora,11.7,21.1,,,,13.0,71.0,30.0,22.0,Good
